filename,slope_label,layer_label
202308895,0,1;2
202308895_2,0,3
202308895_3,0,3
202308895_4,0,3
202308896,1,
202308896_2,1,
202308896_3,0,2
202308896_4,0,3
202308941,1,
202308941_2,1,
202308941_3,0,2
202308941_4,0,3
202309626,0,1;2
202309626_2,0,2;3
202309626_3,0,3
202309626_4,0,3
202400453,1,
202400453_2,1,
202400453_4,0,3
202401408,1,
202401408_2,1,
202401408_3,0,2;3
202401693,0,0
202401693_2,0,2
202402728,1,
202402728_2,1,
202402728_3,0,1;2
202402728_4,0,3
202402729,0,0
202402729_2,0,1;2
202402729_3,0,3
202402729_4,0,3
202403094,0,0
202403094_2,0,2
202403094_3,0,3
202403094_4,0,3
202403749,1,
202403749_2,1,
202403749_3,1,
202403749_4,0,3
202403870,0,1;2
202403870_2,0,3
202403870_3,0,3
202403870_4,0,3
202404082,1,
202404082_2,0,1;2
202404082_3,0,2;3
202404082_4,0,3
202404222,1,
202404222_2,0,3
202404222_3,0,3
202404222_4,0,3
202405012,1,
202405012_2,0,1;2
202405012_3,0,3
202405012_4,0,3
202405013,0,0;1
202405013_2,0,2;3
202405013_3,0,3
202405014,1,
202405014_2,0,2
202405014_3,0,3
202405014_4,0,3
202405319,1,
202405319_2,0,2;3
202405319_3,0,3
202405759,1,
202405759_2,0,2;3
202405759_3,0,3
202302346,1,
202302346_2,0,3
202308325,0,1
202308325_2,0,2;3
202308325_3,0,3
202308491,1,
202308491_2,1,
202308491_3,0,3
202308787,0,1
202308787_2,0,2;3
202308787_3,0,3
202309627,0,2;3
202309627_2,0,3
202309627_3,0,3
202309628,1,
202309628_2,0,2;3
202309628_3,0,3
202309778,1,
202309778_2,0,1
202309778_3,0,2;3
202309778_4,0,3
202310193,1,
202310193_2,0,2;3
202310193_3,0,3
202310577,1,
202310577_2,0,2
202310577_3,0,2;3
202310577_4,0,3
202311173,1,
202311173_2,0,2;3
202311173_3,0,3
202311173_4,0,3
202311174,1,
202311174_3,0,2;3
202311174_4,0,3
202311175,1,
202311175_2,0,1
202311175_3,0,1
202311175_4,0,2
202311672,1,
202311672_3,0,3
202311673,1,
202311673_2,0,2;3
202311673_3,0,3
202311677,1,
202311677_2,0,2
202311677_4,0,3
202312085,1,
202312085_2,0,1
202312085_3,0,2
202312085_4,0,2;3
202400045,1,
202400045_3,0,2;3
202400288,1,
202400288_2,0,1
202400288_3,0,2;3
202400288_4,0,3
202401493,1,
202401493_2,1,
202401493_3,0,2;3
202401493_4,0,3
202402274,1,
202402274_2,1,
202402274_3,0,2;3
202402274_4,0,3
202402429,1,
202402429_2,0,2
202402429_3,0,2;3
202402429_4,0,3
202403393,1,
202403393_2,0,2;3
202403393_3,0,3
202403750,1,
202403750_2,0,3
202403750_3,0,3
202404081,1,
202404081_2,0,3
202404081_3,0,3
202404182,1,
202404182_3,0,2;3
202404182_4,0,3
202405012-2,0,1
202405012-2_2,0,2;3
202405012-2_3,0,3
202405013-2,0,1
202405013-2_2,0,2;3
202405013-2_3,0,3
202405317,0,2;3
202405317_2,0,3
202405317_3,0,3
202405318,1,
202405318_3,0,2;3
202405318_4,0,3
202405432,1,
202405432_3,0,2;3
202405432_4,0,3
202405928,0,1
202405928_2,0,2
202405928_3,0,2;3
202406096,1,
202406096_2,0,2;3
202406096_3,0,3
202406211,1,
202406211_2,0,1
202406211_3,0,2;3
202406211_4,0,3
202406266,1,
202406266_2,0,1
202406266_3,0,2;3
202406266_4,0,2;3
202406267,1,
202406267_2,1,
202406267_3,0,1
202406267_4,0,2
202406439_2,0,2;3
202406439_3,0,3
202406441,1,
202406441_2,0,2;3
202406441_3,0,2;3
202406441_4,0,3
202408782,0,1
202408782_2,0,2;3
202408782_3,0,3
202408782_4,0,3
202408976,1,
202408976_2,0,2;3
202408976_3,0,2;3
202408976_4,0,3
202409913,1,
202409913_2,0,1
202409913_3,0,3
202409913_4,0,3
202411219,1,
202411219_2,0,1
202411219_3,0,2;3
202411219_5,0,3
202411482,1,
202411482_2,0,2;3
202411482_3,0,3
202411579,1,
202411579_2,0,1
202411579_3,0,2
202411579_4,0,3
202411579_5,0,3
202411580,1,
202411580_2,0,2;3
202411580_3,0,3
202411739,1,
202411739_2,0,1
202411739_3,0,2
202411739_4,0,3
202411957,0,1;2
202411957_2,0,2;3
202411957_3,0,2;3
202411957_4,0,3
202412036,0,1
202412036_2,0,2
202412036_3,0,2;3
202412036_4,0,3
202412054,1,
202412054_4,0,2;3
202412249,1,
202412249_2,0,2
202412249_3,0,3
202412250,1,
202412250_3,0,2;3
202412250_4,0,3
202412385,1,
202412385_2,0,2
202412385_3,0,2;3
202412385_4,0,3
202412425,1,
202412425_3,0,2;3
202412425_4,0,3
202412426,1,
202412426_2,0,2
202412426_3,0,2;3
202412426_4,0,3
202412693,1,
202412693_3,0,3
